pop_id,syn_ee_contacts,syn_ei_contacts,syn_ie_contacts,syn_ii_contacts,ele_ee_conductances,ele_ii_conductances,cont_out,cont_in,exc_inputs,inh_inputs
CTC_max_plus_network_pop_000,791,659,527,439,131,109,1581,1449,1318,1098
CTC_max_plus_network_pop_001,832,693,554,462,138,115,1663,1524,1386,1155
CTC_max_plus_network_pop_002,895,746,596,497,149,124,1790,1640,1491,1243
CTC_max_plus_network_pop_003,881,734,587,489,146,122,1761,1614,1468,1223
CTC_max_plus_network_pop_004,1012,843,675,562,168,140,2023,1855,1687,1405
CTC_max_plus_network_pop_005,805,671,537,447,134,111,1610,1476,1342,1118
CTC_max_plus_network_pop_006,1031,859,687,572,171,143,2061,1889,1718,1431
CTC_max_plus_network_pop_007,772,644,515,429,128,107,1544,1415,1287,1073
CTC_max_plus_network_pop_008,1137,947,758,631,189,157,2273,2084,1895,1578
CTC_max_plus_network_pop_009,951,792,634,528,158,132,1901,1743,1585,1320
CTC_max_plus_network_pop_010,682,568,455,379,113,94,1363,1250,1137,947
CTC_max_plus_network_pop_011,1090,908,726,605,181,151,2179,1997,1816,1513
CTC_max_plus_network_pop_012,1109,924,739,616,184,154,2217,2032,1848,1540
CTC_max_plus_network_pop_013,986,822,657,548,164,137,1972,1807,1643,1370
CTC_max_plus_network_pop_014,924,770,616,513,154,128,1848,1694,1540,1283
CTC_max_plus_network_pop_015,553,460,368,307,92,76,1105,1013,921,767
CTC_max_plus_network_pop_016,1023,852,682,568,170,142,2045,1875,1705,1420
CTC_max_plus_network_pop_017,1199,999,799,666,199,166,2397,2197,1998,1665
CTC_max_plus_network_pop_018,1039,865,692,577,173,144,2077,1904,1731,1442
CTC_max_plus_network_pop_019,913,761,609,507,152,126,1826,1674,1522,1268
