pop_id,size,type
CTC_max_plus_network_pop_000,191,excitatory
CTC_max_plus_network_pop_001,134,inhibitory
CTC_max_plus_network_pop_002,127,excitatory
CTC_max_plus_network_pop_003,102,inhibitory
CTC_max_plus_network_pop_004,115,excitatory
CTC_max_plus_network_pop_005,98,inhibitory
CTC_max_plus_network_pop_006,84,excitatory
CTC_max_plus_network_pop_007,97,inhibitory
CTC_max_plus_network_pop_008,61,excitatory
CTC_max_plus_network_pop_009,53,inhibitory
CTC_max_plus_network_pop_010,117,excitatory
CTC_max_plus_network_pop_011,180,inhibitory
CTC_max_plus_network_pop_012,98,excitatory
CTC_max_plus_network_pop_013,129,inhibitory
CTC_max_plus_network_pop_014,115,excitatory
CTC_max_plus_network_pop_015,86,inhibitory
CTC_max_plus_network_pop_016,146,excitatory
CTC_max_plus_network_pop_017,91,inhibitory
CTC_max_plus_network_pop_018,140,excitatory
CTC_max_plus_network_pop_019,87,inhibitory
