pop_id,syn_ee_contacts,syn_ei_contacts,syn_ie_contacts,syn_ii_contacts,ele_ee_conductances,ele_ii_conductances,cont_out,cont_in,exc_inputs,inh_inputs
M2M1S1_max_plus_network_pop_000,674,572,471,404,117,101,1363,1262,1145,976
M2M1S1_max_plus_network_pop_001,933,793,653,560,163,140,1889,1749,1586,1353
M2M1S1_max_plus_network_pop_002,800,680,560,480,140,120,1620,1500,1360,1160
M2M1S1_max_plus_network_pop_003,963,819,674,578,168,144,1950,1805,1637,1397
M2M1S1_max_plus_network_pop_004,935,795,655,561,163,140,1893,1753,1590,1356
M2M1S1_max_plus_network_pop_005,1071,911,750,643,187,160,2169,2008,1821,1554
M2M1S1_max_plus_network_pop_006,541,460,378,324,94,81,1095,1013,919,784
M2M1S1_max_plus_network_pop_007,967,822,677,580,169,145,1958,1813,1644,1402
M2M1S1_max_plus_network_pop_008,1117,949,782,670,195,167,2261,2094,1899,1619
M2M1S1_max_plus_network_pop_009,982,834,687,589,171,147,1987,1840,1669,1423
M2M1S1_max_plus_network_pop_010,969,824,678,581,169,145,1962,1816,1647,1405
M2M1S1_max_plus_network_pop_011,775,659,543,465,135,116,1569,1453,1318,1124
M2M1S1_max_plus_network_pop_012,1037,882,726,622,181,155,2100,1944,1763,1504
M2M1S1_max_plus_network_pop_013,1181,1004,826,708,206,177,2391,2213,2007,1712
M2M1S1_max_plus_network_pop_014,947,805,663,568,165,142,1917,1775,1610,1373
M2M1S1_max_plus_network_pop_015,714,607,500,428,125,107,1446,1339,1214,1035
M2M1S1_max_plus_network_pop_016,1167,992,817,700,204,175,2363,2188,1984,1692
M2M1S1_max_plus_network_pop_017,1490,1266,1043,894,260,223,3016,2793,2533,2160
M2M1S1_max_plus_network_pop_018,858,729,601,515,150,128,1737,1609,1459,1244
M2M1S1_max_plus_network_pop_019,986,838,690,591,172,147,1996,1848,1676,1429
