pop_id,size,type
M2M1S1_max_plus_network_pop_000,194,excitatory
M2M1S1_max_plus_network_pop_001,169,inhibitory
M2M1S1_max_plus_network_pop_002,156,excitatory
M2M1S1_max_plus_network_pop_003,171,inhibitory
M2M1S1_max_plus_network_pop_004,119,excitatory
M2M1S1_max_plus_network_pop_005,108,inhibitory
M2M1S1_max_plus_network_pop_006,107,excitatory
M2M1S1_max_plus_network_pop_007,163,inhibitory
M2M1S1_max_plus_network_pop_008,158,excitatory
M2M1S1_max_plus_network_pop_009,188,inhibitory
M2M1S1_max_plus_network_pop_010,121,excitatory
M2M1S1_max_plus_network_pop_011,127,inhibitory
M2M1S1_max_plus_network_pop_012,130,excitatory
M2M1S1_max_plus_network_pop_013,147,inhibitory
M2M1S1_max_plus_network_pop_014,123,excitatory
M2M1S1_max_plus_network_pop_015,167,inhibitory
M2M1S1_max_plus_network_pop_016,196,excitatory
M2M1S1_max_plus_network_pop_017,71,inhibitory
M2M1S1_max_plus_network_pop_018,183,excitatory
M2M1S1_max_plus_network_pop_019,56,inhibitory
