pop_id,syn_ee_contacts,syn_ei_contacts,syn_ie_contacts,syn_ii_contacts,ele_ee_conductances,ele_ii_conductances,cont_out,cont_in,exc_inputs,inh_inputs
M2M1S1_optimus_plus_network_pop_000,927,780,634,536,156,136,1863,1717,1561,1316
M2M1S1_optimus_plus_network_pop_001,994,837,680,575,167,146,1998,1841,1674,1412
M2M1S1_optimus_plus_network_pop_002,929,782,635,538,156,136,1867,1720,1564,1320
M2M1S1_optimus_plus_network_pop_003,936,788,641,542,157,138,1881,1734,1577,1330
M2M1S1_optimus_plus_network_pop_004,1108,933,758,641,186,163,2227,2052,1866,1574
M2M1S1_optimus_plus_network_pop_005,786,662,538,455,132,115,1580,1456,1324,1117
M2M1S1_optimus_plus_network_pop_006,925,779,633,535,155,136,1859,1713,1558,1314
M2M1S1_optimus_plus_network_pop_007,882,743,604,511,148,130,1773,1634,1486,1254
M2M1S1_optimus_plus_network_pop_008,1199,1010,820,694,202,176,2411,2221,2019,1704
M2M1S1_optimus_plus_network_pop_009,744,627,509,431,125,109,1496,1378,1253,1058
M2M1S1_optimus_plus_network_pop_010,1255,1056,858,726,211,184,2522,2324,2113,1782
M2M1S1_optimus_plus_network_pop_011,769,648,526,445,129,113,1546,1424,1295,1093
M2M1S1_optimus_plus_network_pop_012,817,688,559,473,137,120,1642,1513,1376,1161
M2M1S1_optimus_plus_network_pop_013,808,681,553,468,136,119,1625,1497,1361,1149
M2M1S1_optimus_plus_network_pop_014,959,807,656,555,161,141,1927,1776,1615,1362
M2M1S1_optimus_plus_network_pop_015,1087,916,744,629,183,160,2186,2014,1831,1545
M2M1S1_optimus_plus_network_pop_016,799,673,546,462,134,117,1606,1479,1345,1135
M2M1S1_optimus_plus_network_pop_017,1101,927,753,637,185,162,2213,2039,1854,1564
M2M1S1_optimus_plus_network_pop_018,788,663,539,456,132,116,1583,1459,1327,1119
M2M1S1_optimus_plus_network_pop_019,965,812,660,558,162,142,1939,1787,1625,1370
