pop_id,size,type
M2M1S1_optimus_plus_network_pop_000,139,excitatory
M2M1S1_optimus_plus_network_pop_001,175,inhibitory
M2M1S1_optimus_plus_network_pop_002,145,excitatory
M2M1S1_optimus_plus_network_pop_003,186,inhibitory
M2M1S1_optimus_plus_network_pop_004,113,excitatory
M2M1S1_optimus_plus_network_pop_005,107,inhibitory
M2M1S1_optimus_plus_network_pop_006,72,excitatory
M2M1S1_optimus_plus_network_pop_007,73,inhibitory
M2M1S1_optimus_plus_network_pop_008,177,excitatory
M2M1S1_optimus_plus_network_pop_009,125,inhibitory
M2M1S1_optimus_plus_network_pop_010,166,excitatory
M2M1S1_optimus_plus_network_pop_011,109,inhibitory
M2M1S1_optimus_plus_network_pop_012,158,excitatory
M2M1S1_optimus_plus_network_pop_013,65,inhibitory
M2M1S1_optimus_plus_network_pop_014,191,excitatory
M2M1S1_optimus_plus_network_pop_015,190,inhibitory
M2M1S1_optimus_plus_network_pop_016,131,excitatory
M2M1S1_optimus_plus_network_pop_017,165,inhibitory
M2M1S1_optimus_plus_network_pop_018,167,excitatory
M2M1S1_optimus_plus_network_pop_019,186,inhibitory
